Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos Produtores,mes,Campos produtores
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,108711.597557261,1232.53110366667,116463.984018415,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-04-01,NA
FPSO CIDADE DE SANTOS,5338.13239455333,1145.89554966667,12545.5976818022,8,Tambaú/Uruguá,2020-04-01,NA
PONTO DE COLETA ÁREA DO LUC-05,1238.91792294233,1107.86481033333,8207.17708562504,4,Leste Do Urucu,2020-04-01,NA
PONTO DE COLETA ÁREA DO LUC-09,881.821507964333,1023.592269,7320.02239744322,3,Leste Do Urucu,2020-04-01,NA
PETROBRAS 52,49204.89429874,956.184132333333,55219.1108161315,12,Roncador,2020-04-01,NA
PETROBRAS 40,47701.2984454133,923.104853666667,53507.4525850545,13,Marlim/Marlim Sul,2020-04-01,NA
FPSO CIDADE DE CARAGUATATUBA,28712.6471934667,886.289052,34287.2369356268,2,Lapa,2020-04-01,NA
PONTO DE COLETA ÁREA DO LUC-43,1024.40521085433,841.593370000001,6317.86760541404,3,Leste Do Urucu,2020-04-01,NA
FPSO CIDADE DE ITAGUAÍ,139279.040773942,7693.93916741935,187672.456288568,7,Lula,2020-05-01,NA
POLO ARARA,7569.70132111645,6271.23882709677,47014.602008178,31,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-05-01,NA
FPSO CIDADE DE SAQUAREMA,139170.779770894,6149.0035316129,177846.843674068,7,Anc_Lula/Lula/Sul De Lula,2020-05-01,NA
PLATAFORMA DE MEXILHÃO,3977.10164521613,5872.80589774194,40915.9349088923,7,Mexilhão,2020-05-01,NA
FPSO CIDADE DE ILHA BELA,139706.067410122,5778.76964580645,176053.430516012,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-05-01,NA
PETROBRAS 75 (P-75),151045.11240089,5571.38292903226,186088.052461747,4,Búzios/Tambuatá,2020-05-01,NA
PETROBRAS 66 (P-66),117950.330455283,5517.70498,152655.646415536,7,Anc_Lula/Lula/Sul De Lula,2020-05-01,NA
PETROBRAS 77,155371.278211397,5451.43389741935,189659.761653724,4,Búzios/Tambuatá,2020-05-01,NA
PETROBRAS 69,146943.169168254,5238.41923483871,179891.830855735,6,Anc_Lula/Lula/Sul De Lula,2020-05-01,NA
FPSO CIDADE DE MANGARATIBA,90778.5532535451,5164.4581816129,123262.013968836,8,Lula,2020-05-01,NA
FPSO CIDADE DE MARICÁ,131106.862038264,4908.79423290322,161982.245092321,8,Anc_Lula/Lula/Sul De Lula,2020-05-01,NA
FPSO CIDADE DE SÃO PAULO,86962.1601940906,4810.77403580645,117221.014832246,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-05-01,NA
PETROBRAS 58,100836.973929029,3576.61579129032,123333.207699245,10,Jubarte,2020-05-01,NA
FPSO CIDADE DE PARATY,92533.7075425741,3523.37403612903,114695.060788759,6,Anc_Lula/Lula/Sul De Lula,2020-05-01,NA
PETROBRAS 76,85224.6205889806,3459.74258258064,106985.744082322,4,Búzios/Tambuatá,2020-05-01,NA
PETROBRAS 74 (P-74),82388.0664228323,3388.02998967742,103698.131332205,5,Búzios/Tambuatá,2020-05-01,NA
PETROBRAS 67 (P-67),74831.3419252463,2634.09251,91399.2833355694,5,Anc_Lula/Lula/Sul De Lula,2020-05-01,NA
PETROBRAS 62,29077.286416229,2314.72807774193,43636.486226891,12,Roncador,2020-05-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1996.71337281129,1656.15373580645,12413.6057018241,8,Leste Do Urucu,2020-05-01,NA
FPSO CIDADE DE SANTOS,8229.77204035806,1649.38375032258,18604.0824469745,8,Tambaú/Uruguá,2020-05-01,NA
FPSO PIONEIRO DE LIBRA,22406.2914431438,1506.00123129032,31878.753047726,1,Mero,2020-05-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2092.22149999903,1393.36367387097,10856.2142695494,8,Leste Do Urucu,2020-05-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,105842.972447309,1215.52609935484,113488.400662292,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-05-01,NA
PONTO DE COLETA ÁREA DO LUC-05,1155.18366404064,1007.02733419355,7489.19426092457,4,Leste Do Urucu,2020-05-01,NA
PONTO DE COLETA ÁREA DO LUC-43,1093.16167370452,932.558929677419,6958.78015517884,3,Leste Do Urucu,2020-05-01,NA
FPSO CIDADE DE CARAGUATATUBA,28637.003774171,902.540457096774,34313.8117666228,2,Lapa,2020-05-01,NA
PONTO DE COLETA ÁREA DO LUC-09,777.732368837742,884.883269677419,6343.48000728747,3,Leste Do Urucu,2020-05-01,NA
PETROBRAS 52,43242.4640397097,823.748445806451,48423.6852516275,11,Roncador,2020-05-01,NA
PETROBRAS 56,37087.4081465323,741.485281290323,41751.2096836449,10,Marlim Sul,2020-05-01,NA
FPSO CIDADE DE ANGRA DOS REIS,12600.0860110227,719.692343548387,17126.8141103968,5,Anc_Lula/Lula/Sul De Lula,2020-05-01,NA
FPSO CIDADE DE ITAGUAÍ,139036.535188053,7564.53212466666,186616.004991103,7,Lula,2020-06-01,NA
FPSO CIDADE DE MANGARATIBA,129939.30413681,7429.43852866667,176669.060888803,8,Lula,2020-06-01,NA
POLO ARARA,7362.726418781,6710.40534766666,49569.9010785883,32,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-06-01,NA
FPSO CIDADE DE SAQUAREMA,138423.59826685,6183.02439466667,177313.646934669,7,Anc_Lula/Lula/Sul De Lula,2020-06-01,NA
PETROBRAS 75 (P-75),163409.341374323,5981.30179366667,201030.593209146,4,Búzios/Tambuatá,2020-06-01,NA
FPSO CIDADE DE ILHA BELA,140191.974681391,5786.49338466667,176587.918637201,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-06-01,NA
PLATAFORMA DE MEXILHÃO,3905.61349083,5780.13293133333,40261.5514036597,7,Mexilhão,2020-06-01,NA
PETROBRAS 74 (P-74),130373.94258743,5405.65355833333,164374.476395171,5,Búzios/Tambuatá,2020-06-01,NA
PETROBRAS 66 (P-66),122680.807763441,5262.03623766667,155778.015911479,7,Anc_Lula/Lula/Sul De Lula,2020-06-01,NA
PETROBRAS 69,141819.250874083,5160.244528,174276.208508743,6,Anc_Lula/Lula/Sul De Lula,2020-06-01,NA
PETROBRAS 77,134603.39323592,4743.87853,164441.487852699,4,Búzios/Tambuatá,2020-06-01,NA
FPSO CIDADE DE SÃO PAULO,92934.2698203581,4660.10033466666,122245.415506348,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-06-01,NA
FPSO CIDADE DE MARICÁ,124586.731409861,4642.96048666667,153790.070708502,7,Anc_Lula/Lula/Sul De Lula,2020-06-01,NA
PETROBRAS 67 (P-67),121625.262600622,4301.938187,148683.636428597,5,Anc_Lula/Lula/Sul De Lula,2020-06-01,NA
FPSO CIDADE DE PARATY,96881.1793795235,3692.33992966667,120105.29599254,5,Anc_Lula/Lula/Sul De Lula,2020-06-01,NA
PETROBRAS 76,88132.99383468,3480.33423433333,110023.634905132,4,Búzios/Tambuatá,2020-06-01,NA
PETROBRAS 58,96149.0841212467,3418.887625,117653.237693848,10,Jubarte,2020-06-01,NA
FPSO CIDADE DE ANGRA DOS REIS,65919.5729194356,2741.771329,83164.7936422931,6,Anc_Lula/Lula/Sul De Lula,2020-06-01,NA
PLATAFORMA DE MANATI 1,242.216389893333,2711.370015,17296.2186239405,5,Manati,2020-06-01,NA
PETROBRAS 62,28959.1574269867,2237.70244866667,43033.8806656348,12,Roncador,2020-06-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,7.72036648300333,1953.69537733333,12296.093087788,12,Gavião Azul/Gavião Real/Gavião Vermelho,2020-06-01,NA
FPSO PIONEIRO DE LIBRA,26380.8530118953,1785.194404,37609.3866261186,1,Mero,2020-06-01,NA
PETROBRAS 68,84110.2577037827,1658.010339,94538.8277141283,3,Berbigão/Sururu,2020-06-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1799.581312986,1532.90336566667,11441.2522313899,7,Leste Do Urucu,2020-06-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2169.33177738233,1360.93870666667,10729.3776639614,7,Leste Do Urucu,2020-06-01,NA
FPSO CIDADE DE SANTOS,7101.26048470333,1323.98624366667,15428.8823999804,8,Tambaú/Uruguá,2020-06-01,NA
FPSO CIDADE DE ANCHIETA,34885.00337813,1220.26314133333,42560.2266871198,6,Jubarte,2020-06-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,101886.684068115,1171.49940533333,109255.192742774,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-06-01,NA
PONTO DE COLETA ÁREA DO LUC-09,901.117177422,1067.162593,7613.36712649933,3,Leste Do Urucu,2020-06-01,NA
PONTO DE COLETA ÁREA DO LUC-05,1147.17119005667,1051.167199,7758.81314999886,4,Leste Do Urucu,2020-06-01,NA
FPSO CIDADE DE MANGARATIBA,128782.060052752,7417.01437967742,175433.67126819,7,Lula,2020-07-01,NA
FPSO CIDADE DE ITAGUAÍ,139368.692885123,7413.26779806451,185996.738814067,7,Lula,2020-07-01,NA
POLO ARARA,7382.77405193226,6791.51004193548,50100.0818287985,32,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-07-01,NA
PETROBRAS 76,168649.403930577,6657.72205806452,210525.210708612,4,Búzios/Tambuatá,2020-07-01,NA
PETROBRAS 75 (P-75),162580.234378465,6508.77824935484,203519.212899039,5,Búzios/Tambuatá,2020-07-01,NA
PLATAFORMA DE MEXILHÃO,3895.60802629677,5769.23096258065,40182.9746270461,7,Mexilhão,2020-07-01,NA
FPSO CIDADE DE ILHA BELA,137716.79127706,5706.86380967742,173611.880335807,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-07-01,NA
PETROBRAS 77,161326.445971745,5677.61363580645,197037.556994377,4,Búzios/Tambuatá,2020-07-01,NA
FPSO CIDADE DE SAQUAREMA,126870.344153172,5658.69318483871,162462.449134102,7,Anc_Lula/Lula/Sul De Lula,2020-07-01,NA
PETROBRAS 69,143468.398081623,5329.21485741936,176988.146983968,6,Anc_Lula/Lula/Sul De Lula,2020-07-01,NA
PETROBRAS 66 (P-66),119375.820548408,5237.09462419355,152316.150686607,7,Anc_Lula/Lula/Sul De Lula,2020-07-01,NA
PETROBRAS 74 (P-74),122347.296308874,5033.21734935484,154005.27712502,5,Búzios/Tambuatá,2020-07-01,NA
PETROBRAS 67 (P-67),126028.560851435,4430.69064677419,153896.763188422,6,Anc_Lula/Lula/Sul De Lula,2020-07-01,NA
FPSO CIDADE DE SÃO PAULO,86666.3605523268,4310.21815387097,113776.813798726,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-07-01,NA
FPSO CIDADE DE MARICÁ,116594.162366848,4184.28419741936,142912.514954619,8,Anc_Lula/Lula/Sul De Lula,2020-07-01,NA
PETROBRAS 58,98779.1124436774,3441.44237225806,120425.13109113,11,Baleia Anã/Jubarte,2020-07-01,NA
FPSO CIDADE DE PARATY,79644.2253424514,3046.45169419355,98805.827673107,5,Anc_Lula/Lula/Sul De Lula,2020-07-01,NA
FPSO CIDADE DE ANGRA DOS REIS,69133.2101134259,2865.27690354839,87155.2574341336,6,Anc_Lula/Lula/Sul De Lula,2020-07-01,NA
PLATAFORMA DE MANATI 1,171.529611407097,2314.02644,14726.3162539835,4,Manati,2020-07-01,NA
PETROBRAS 62,27726.4320384129,2106.31504451613,40974.7534685609,12,Roncador,2020-07-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1832.05182813,1631.0671093548401,12091.1540432212,7,Leste Do Urucu,2020-07-01,NA
PETROBRAS 68,80307.6934356085,1600.46390903226,90374.3073352787,3,Berbigão/Sururu,2020-07-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,12.3003077986387,1441.76636612903,9080.73681514068,11,Gavião Azul/Gavião Real/Gavião Vermelho,2020-07-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2071.39248983839,1348.79965580645,10555.0860529264,7,Leste Do Urucu,2020-07-01,NA
FPSO CIDADE DE SANTOS,6851.95669632258,1266.86371741935,14820.288774784,8,Tambaú/Uruguá,2020-07-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,100334.580036115,1157.80484741935,107616.952543462,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-07-01,NA
PONTO DE COLETA ÁREA DO LUC-09,937.122646944839,1114.72115709677,7948.5069280637,3,Leste Do Urucu,2020-07-01,NA
FPSO CIDADE DE CARAGUATATUBA,32303.8290920871,1103.09574290323,39242.0917267572,3,Lapa,2020-07-01,NA
FPSO CIDADE DE ANCHIETA,30478.8813000064,1090.30287419355,37336.6792211378,6,Jubarte,2020-07-01,NA
PETROBRAS 70,26941.5852492524,994.866856451613,33199.1087516303,1,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2020-07-01,NA
FPSO CIDADE DE ITAGUAÍ,140115.220289168,7336.9595083871,186263.301574616,7,Tupi,2020-08-01,NA
POLO ARARA,7508.71958419548,7070.96515129032,51983.7469024329,32,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-08-01,NA
FPSO CIDADE DE MANGARATIBA,121350.304612687,7068.53544451613,165810.049536959,8,Tupi,2020-08-01,NA
PETROBRAS 75,148872.942749158,6406.14505645161,189166.377986678,5,Búzios/Tambuatá,2020-08-01,NA
PETROBRAS 76,160636.748015535,6394.50531548387,200856.971493919,4,Búzios/Tambuatá,2020-08-01,NA
FPSO CIDADE DE SAQUAREMA,132457.63914475,5958.00142677419,169932.336098889,7,Anc_Tupi/Sul De Tupi/Tupi,2020-08-01,NA
PETROBRAS 77,165597.864058629,5883.86902516129,202606.282291779,4,Búzios/Tambuatá,2020-08-01,NA
PETROBRAS 74,134016.074719977,5748.51973290322,170173.171621189,5,Búzios/Tambuatá,2020-08-01,NA
FPSO CIDADE DE ILHA BELA,136170.38870488,5730.46148419355,172213.902652775,6,Nordeste De Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2020-08-01,NA
PLATAFORMA DE MEXILHÃO,3870.0511079871,5716.6363216129,39826.6074100312,7,Mexilhão,2020-08-01,NA
PETROBRAS 66 (P-66),116926.54613051,5668.80205645161,152582.2339932,7,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,NA
PETROBRAS 69,141932.923603887,5445.95491580645,176186.945292875,6,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,NA
PETROBRAS 67,133974.698888938,4785.93114677419,164077.29647523,6,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,NA
FPSO CIDADE DE MARICÁ,129149.412274817,4776.99242806452,159195.787018781,8,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,NA
FPSO CIDADE DE SÃO PAULO,92371.3946555552,4457.89627193548,120410.715205738,6,Nordeste De Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2020-08-01,NA
PETROBRAS 58,97864.9453713645,3260.35159451613,118371.937434068,12,Baleia Anã/Jubarte,2020-08-01,NA
FPSO CIDADE DE PARATY,82513.6976167683,3202.8401183871,102658.953421801,4,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,NA
FPSO CIDADE DE ANGRA DOS REIS,69015.5419670648,2847.27124806452,86924.3371358534,5,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,NA
PLATAFORMA DE MANATI 1,175.834682006452,2496.06062645161,15875.5817708681,5,Manati,2020-08-01,NA
PETROBRAS 62,25910.7566436548,2134.86543774194,39338.6546226184,12,Roncador,2020-08-01,NA
FPSO CIDADE DE CARAGUATATUBA,44967.9679067194,1768.95025709677,56094.3289233092,3,Lapa,2020-08-01,NA
PETROBRAS 68,82030.8274401802,1706.82609935484,92766.4393081633,3,Berbigão/Sururu,2020-08-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,10.7956655373516,1697.71909516129,10689.1262074738,10,Gavião Azul/Gavião Real/Gavião Vermelho,2020-08-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1828.06611756097,1644.22952580645,12169.9574312736,7,Leste do Urucu,2020-08-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2080.67503201581,1500.24986645161,11516.9616445218,8,Leste do Urucu,2020-08-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1005.42024448419,1240.4482616129,8807.60412485965,4,Leste do Urucu,2020-08-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,99448.1307727139,1145.1453883871,106650.877688045,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-08-01,NA
PETROBRAS 52,57393.5950971806,1064.68250709677,64090.245777143,12,Roncador,2020-08-01,NA
FPSO CIDADE DE ANCHIETA,27762.8703280226,1033.07465258064,34260.7136085708,6,Jubarte,2020-08-01,NA
PONTO DE COLETA ÁREA DO LUC-05,1024.70439615,976.08660967742,7164.10371456513,4,Leste do Urucu,2020-08-01,NA
FPSO CIDADE DE ITAGUAÍ,139658.698034013,7341.573429,185835.800003472,7,Tupi,2020-09-01,NA
PETROBRAS 75 (P-75),162457.254931227,7030.816926,206679.757540551,4,Búzios/Tambuatá,2020-09-01,NA
FPSO CIDADE DE MANGARATIBA,113749.18853118,6494.12106466667,154595.976144931,8,Tupi,2020-09-01,NA
PETROBRAS 76,156748.369686223,6288.97712666666,196304.840907303,4,Búzios/Tambuatá,2020-09-01,NA
POLO ARARA,6905.360997688,6234.879594,46121.5690168251,33,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-09-01,NA
PETROBRAS 77,161608.910517667,5745.850023,197749.215450832,4,Búzios/Tambuatá,2020-09-01,NA
FPSO CIDADE DE ILHA BELA,131527.314943098,5631.04122666667,166945.494360998,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-09-01,NA
PETROBRAS 66 (P-66),120375.432964337,5466.373462,154757.883429359,7,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,NA
FPSO CIDADE DE SAQUAREMA,119133.643986335,5373.013197,152928.876122958,7,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,NA
PLATAFORMA DE MEXILHÃO,3595.14427602334,5342.89105866667,37200.9138857355,7,Mexilhão,2020-09-01,NA
PETROBRAS 67 (P-67),134264.553604579,4962.38432633333,165477.008164193,6,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,NA
PETROBRAS 74 (P-74),123595.449992687,4820.60822766666,153916.15982914701,5,Búzios/Tambuatá,2020-09-01,NA
FPSO CIDADE DE MARICÁ,126195.750571517,4628.51236066667,155308.213902762,8,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,NA
PETROBRAS 69,106915.663275291,4172.796771,133161.762133494,6,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,NA
PLATAFORMA DE MANATI 1,265.256173583667,3491.34533433333,22225.1549709268,5,Manati,2020-09-01,NA
FPSO CIDADE DE PARATY,86098.3296338514,3347.06837433333,107150.753765417,4,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,NA
PETROBRAS 58,94985.1107520767,3279.52931533333,115612.727034953,12,Baleia Anã/Jubarte,2020-09-01,NA
FPSO CIDADE DE ANGRA DOS REIS,66476.7891057277,2719.821763,83583.9512288627,5,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,NA
PETROBRAS 62,27341.06187242,2247.80151833333,41479.3063404482,12,Roncador,2020-09-01,NA
FPSO PIONEIRO DE LIBRA,29263.1102015526,1967.20200466667,41636.4370425251,1,Mero,2020-09-01,NA
PETROBRAS 68,80378.0877993399,1653.41730566667,90777.7685026952,3,Berbigão/Sururu,2020-09-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1635.79759583067,1525.805152,11232.8220989318,7,Leste Do Urucu,2020-09-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,11.7567325441133,1520.22318033333,9573.67169443653,11,Gavião Azul/Gavião Real/Gavião Vermelho,2020-09-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1945.446409753,1514.75527033333,11472.9692566483,8,Leste Do Urucu,2020-09-01,NA
FPSO CIDADE DE CARAGUATATUBA,40776.4147161267,1388.68642833333,49510.9884999219,3,Lapa,2020-09-01,NA
PETROBRAS 52,61080.2023409733,1141.84147633333,68262.1682772295,14,Roncador,2020-09-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,96117.4669488186,1108.65580866667,103090.701340728,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-09-01,NA
PETROBRAS 56,37020.0709962167,1081.71599033333,43823.8590493752,10,Marlim Sul,2020-09-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1710.21925673167,1041.56380866667,8261.45771612135,4,Leste Do Urucu,2020-09-01,NA
PETROBRAS 40,57652.35443133,985.289582000001,63849.6386970894,13,Marlim/Marlim Sul,2020-09-01,NA
POLO ARARA,6980.96493320867,6630.31335833333,48684.3761975872,32,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-11-01,NA
PETROBRAS 75,153219.72128152,6629.059991,194915.249103512,4,Búzios/Tambuatá,2020-11-01,NA
FPSO CIDADE DE ITAGUAÍ,123051.268211107,6396.59755666667,163284.651489004,7,Tupi,2020-11-01,NA
FPSO CIDADE DE SAQUAREMA,130476.7175461,5854.93222533333,167303.128806323,7,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,NA
PETROBRAS 69,138201.547640991,5738.39929,174294.988879226,7,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,NA
PLATAFORMA DE MEXILHÃO,3620.19658925333,5444.823293,37867.1005857977,7,Mexilhão,2020-11-01,NA
PETROBRAS 67,126246.378011177,5087.12385133333,158243.420482532,6,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,NA
PETROBRAS 66,101003.53178102,5003.21543466667,132472.806254141,8,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,NA
PETROBRAS 76,125116.25895938,4986.79843,156482.273592378,4,Búzios/Tambuatá,2020-11-01,NA
FPSO CIDADE DE ILHA BELA,113142.357950413,4965.452522,144374.110877813,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2020-11-01,NA
FPSO CIDADE DE SÃO PAULO,88616.2103476172,4669.08862233333,117983.890655256,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2020-11-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,49.4378143494533,4585.127856,28889.0208542968,23,Gavião Branco/Gavião Caboclo,2020-11-01,NA
FPSO CIDADE DE MARICÁ,114541.924304726,4080.28363666667,140206.133125469,6,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,NA
PETROBRAS 74,97593.4425439933,4038.346353,122993.873818556,5,Búzios/Tambuatá,2020-11-01,NA
PLATAFORMA DE MANATI 1,265.169583866,3704.092119,23563.2052348734,6,Manati,2020-11-01,NA
PETROBRAS 77,95660.7097271933,3395.89201033333,117020.225252708,4,Búzios/Tambuatá,2020-11-01,NA
PETROBRAS 58,91091.7372315067,3086.07128166667,110502.539239646,12,Baleia Anã/Jubarte,2020-11-01,NA
FPSO CIDADE DE PARATY,78038.6262869635,3050.19379933333,97223.7657479483,4,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,23.4646750320567,2820.358776,17762.9855079046,13,Gavião Azul/Gavião Real/Gavião Vermelho,2020-11-01,NA
FPSO CIDADE DE MANGARATIBA,46375.7398573433,2720.367749,63486.336128681,7,Tupi,2020-11-01,NA
PETROBRAS 62,27739.4102159433,2164.72901866667,41355.1444448431,12,Roncador,2020-11-01,NA
FPSO CIDADE DE ANGRA DOS REIS,49024.0178950169,1907.241571,61020.2050007084,5,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,NA
PETROBRAS 68,91880.7539347471,1791.73825066667,103150.447101173,4,Berbigão/Sururu,2020-11-01,NA
PETROBRAS 70,46890.1286644473,1648.407122,57258.2962644741,1,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2020-11-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2002.06937597633,1575.14824133333,11909.4525357972,8,Leste do Urucu,2020-11-01,NA
FPSO CIDADE DE CARAGUATATUBA,42005.2150603633,1558.26490133333,51806.4052194187,3,Lapa,2020-11-01,NA
FPSO PIONEIRO DE LIBRA,22540.3285946113,1511.644181,32048.2832807069,1,Mero,2020-11-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1681.526611134,1490.636443,11057.3466166798,7,Leste do Urucu,2020-11-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1697.27168284667,1204.81533233333,9275.33120831019,4,Leste do Urucu,2020-11-01,NA
PETROBRAS 52,63278.97315474,1195.26029433333,70796.9333066407,14,Roncador,2020-11-01,NA
POLO ARARA,7208.20524491258,6814.8827916129,50072.5231764273,32,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2020-12-01,NA
FPSO CIDADE DE ITAGUAÍ,126235.364679055,6602.81647741935,167765.825786892,6,Tupi,2020-12-01,NA
FPSO CIDADE DE MANGARATIBA,106472.211518213,6342.32157387097,146364.209176762,8,Tupi,2020-12-01,NA
PETROBRAS 69,143675.479452181,6136.57992548387,182273.401233289,7,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,NA
PETROBRAS 76,144394.537160029,5944.01963709677,181781.291313637,4,Búzios/Tambuatá,2020-12-01,NA
FPSO CIDADE DE SAQUAREMA,133846.748424955,5898.22124677419,170945.439405128,7,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,NA
FPSO CIDADE DE ILHA BELA,131321.756740659,5833.24283806452,168011.745875945,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-12-01,NA
PLATAFORMA DE MEXILHÃO,3588.7079066871,5413.61160741935,37639.2963311494,7,Mexilhão,2020-12-01,NA
PETROBRAS 66 (P-66),101742.075080221,5120.86557290322,133951.346569323,8,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,NA
PETROBRAS 67 (P-67),112393.182539266,4707.40176258064,142001.845219563,6,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,NA
FPSO CIDADE DE MARICÁ,131775.998976886,4651.87139774193,161035.386213117,7,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,NA
PETROBRAS 74 (P-74),107733.324510126,4456.03369677419,135760.929816433,5,Búzios/Tambuatá,2020-12-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,51.7478088879355,4418.53973483871,27843.5232184738,26,Gavião Branco/Gavião Caboclo,2020-12-01,NA
