Período,Consumo Interno,Queima,Disponível,Injeção,Aproveitamento,Injeção descontando CO2,Produção descontando CO2
2022-06-01,13204.360818333338,4345.87520133333,53558.932747000035,62438.109101999995,0.9674581521189287,NA,NA
2022-07-01,13752.47268129033,4071.826069354841,51956.0211551613,66476.73112032258,0.9701165845092742,NA,NA
2022-08-01,14459.733281935482,3294.353887096774,53262.129723225844,69596.68861096776,0.9765714684914095,NA,NA
2022-09-01,14994.622904333337,3162.420455999998,56673.726006333345,68947.53250066667,0.9780048838042472,NA,NA
2022-10-01,15118.699207096774,2907.293818709676,55023.539813548436,76357.10686967743,0.9805410668202458,NA,NA
2022-11-01,14624.963616666662,3652.046170000003,50526.84165500001,72188.08531833334,0.9740974820693712,NA,NA
2022-12-01,14608.2699867742,3707.288448064516,52958.92173903229,69467.55689225806,0.9736589825943575,NA,NA
2021-07-01,14712.794499677419,3515.8551325806447,56086.635944193586,65535.50599612903,0.9748599554350326,NA,NA
2023-01-01,15085.212709677427,4145.849967741936,50983.55425806453,73414.75158064517,0.9711350818389458,NA,NA
2023-02-01,15150.35085714286,3810.0141071428593,49396.8342142857,78756.9237142857,0.9741016427775755,NA,NA
2023-03-01,14561.696677419352,3599.9718387096773,48039.9291935484,72852.80367741936,0.9741110543585878,NA,NA
2023-04-01,14754.08266666667,3869.267533333331,50330.06136666667,73113.45726666666,0.9727644625020025,NA,NA
2022-12-01,14608.2699867742,3707.2884480645166,52360.18855129029,69467.55689225806,0.9736589825943575,NA,NA
2023-01-01,15085.212709677427,4145.849967741936,50597.51064516123,73414.75158064517,0.9711350818389458,NA,NA
2023-02-01,15150.35085714286,3810.0201785714307,48822.21192857142,78756.92371428572,0.9741016025762123,NA,NA
2023-03-01,14561.696677419352,3599.9718387096773,47516.30809677416,72852.80367741936,0.9741110543585878,NA,NA
2023-04-01,14754.08266666667,3869.267533333331,49864.42386666671,73113.45726666668,0.9727644625020023,NA,NA
2023-05-01,14598.209516129029,4136.05241935484,50684.693967741725,74990.77251612903,0.9714647659693277,NA,NA
2023-06-01,15160.836833333336,4580.425733333334,54657.58833333329,77859.04066666667,0.9700634494361077,NA,NA
2023-07-01,15935.702967741936,4274.182451612907,53656.62864516131,80209.3377419355,0.9723939619720184,NA,NA
2023-08-01,16070.670193548394,3768.979096774194,52253.85941935487,75766.43458064515,0.9746457296890085,NA,NA
2023-09-01,16648.61013333333,3353.780966666665,54388.06060000016,83598.3934,0.978878343901145,NA,NA
2023-10-01,16239.155709677414,3731.5740967741935,48623.51461290312,83911.09845161291,0.9756470844218484,NA,NA
2023-11-01,16806.88569999999,3663.2146,55865.74239999988,85787.2612,0.977503155207983,NA,NA
2023-12-01,16267.923806451603,3393.1370645161314,51340.5476774193,85616.51745161289,0.978394743699303,NA,NA
2022-07-01,7767.433289032258,2711.610015483871,30412.85150709676,59440.87673580645,0.9730564572380841,NA,NA
2022-08-01,8315.046454516129,1963.821786774194,29667.324773870976,62686.22385903226,0.9809209980451158,NA,NA
2022-09-01,8543.471169666667,1890.4078233333335,31726.976252333337,62333.85202533334,0.9819571585220953,NA,NA
2022-10-01,8929.35235032258,1633.235989354839,31580.73062290322,68893.13627580645,0.9853269571541703,NA,NA
2022-11-01,8627.245125666668,2301.718876333334,28136.11392899997,64911.288229333346,0.9779004918129864,NA,NA
2022-12-01,8946.891964516128,2377.1240583870963,30215.017985161314,62723.23208451613,0.9772398365240309,NA,NA
2023-01-01,9211.401612903226,2786.271741935484,30504.337999999967,66691.26583870967,0.9744876785465806,NA,NA
2023-02-01,9409.908642857145,2587.7081785714295,29365.60564285714,71394.50425,0.9770968595651861,NA,NA
2023-03-01,8799.136032258064,2364.729419354838,27794.71341935487,64562.13619354839,0.9772083506418691,NA,NA
2023-04-01,8829.898266666667,2319.3191,27883.403533333363,65008.11213333332,0.9777628282571134,NA,NA
